,-9.6493,-14.9741,0.0002,-15
1770661746,-9.6427,-14.9637,0,-15
1770661747,-9.6035,-14.9341,0.0001,-15
1770661748,-9.6558,-15.115,0.0001,-15
1770661748,-9.6297,-14.9752,0.0003,-15
1770661749,-9.6493,-15.0111,0.0004,-15
1770661750,-9.6297,-14.915,0,-15
1770661751,-9.6297,-14.9478,0.0001,-15
1770661751,-9.597,-14.4504,0.0022,-15
1770661752,-9.5839,-15.2799,0.0021,-15
1770661753,-9.4858,-11.8339,0.0092,-15
1770661753,-9.6166,-15.9134,0.008,-15
1770661754,-9.525,-18.9282,0.0258,-15
1770661755,-9.6035,-12.4419,0.0032,-15
1770661756,-9.5904,-14.3832,0.0016,-15
1770661756,-9.6427,-15.3716,0.0002,-15
1770661757,-9.6558,-14.8594,0.0011,-15
1770661758,-9.682,-15.0431,0.0152,-15
1770661759,-9.7081,-16.9444,0.0081,-15
1770661759,-9.6689,-15.1541,0.0042,-15
1770661760,-9.682,-14.367,0.0008,-15
1770661761,-9.6558,-14.7,0.0007,-15
1770661761,-9.6885,-15.0724,0.0002,-15
1770661762,-9.6885,-14.9143,0.0004,-15
1770661763,-9.6624,-14.8965,0.0001,-15
1770661764,-9.6558,-14.954,0.0004,-15
1770661764,-9.7016,-15.0287,0.0003,-15
1770661765,-9.6558,-15.2815,0.0007,-15
1770661766,-9.7016,-17.4374,0.0103,-15
1770661767,-9.6951,-13.4694,0.001,-15
1770661767,-9.7081,-14.8237,0,-15
1770661768,-9.682,-14.8206,0.0016,-15
1770661769,-9.6951,-14.7506,0.0008,-15
1770661770,-9.6624,-14.6716,0.0008,-15
1770661770,-9.7081,-14.7425,0.0023,-15
1770661771,-9.6558,-14.7865,0.0003,-15
1770661772,-9.6624,-14.0895,0.0019,-15
1770661773,-9.682,-14.2124,0.0004,-15
1770661773,-9.6558,-14.9866,0.001,-15
1770661774,-9.6754,-14.9585,0.0002,-15
1770661775,-9.7081,-15.1077,0.0012,-15
1770661776,-9.7081,-14.8593,0.0022,-15
1770661776,-9.6951,-15.3,0.0007,-15
1770661777,-9.6624,-15.0458,0.0002,-15
1770661778,-9.6754,-14.915,0.0021,-15
1770661779,-9.6951,-14.3608,0.004,-15
1770661779,-9.6624,-15.7648,0.0021,-15
1770661780,-9.6951,-15.2999,0.0003,-15
1770661781,-9.6624,-15.0589,0.0004,-15
1770661781,-9.6558,-14.8562,0.0001,-15
1770661782,-9.6754,-14.9443,0.0003,-15
1770661783,-9.6951,-15.9676,0.0057,-15
1770661784,-9.7278,-19.4738,0.0179,-15
1770661785,-9.7474,-20.9423,0.017,-15
1770661785,-9.7212,-18.6424,0.013,-15
1770661786,-9.7474,-18.441,0.0122,-15
1770661787,-9.7474,-18.515,0.0116,-15
1770661788,-9.7474,-18.5171,0.0114,-15
1770661788,-9.7539,-18.4242,0.0116,-15
1770661789,-9.7343,-18.4088,0.0115,-15
1770661790,-9.7278,-20.0785,0.0127,-15
1770661791,-9.7278,-18.9392,0.0134,-15
1770661791,-9.7343,-18.363,0.0139,-15
1770661792,-9.7343,-17.5788,0.0125,-15
1770661793,-9.7343,-19.2303,0.0137,-15
1770661794,-9.7278,-19.2753,0.0115,-15
1770661794,-9.7212,-17.8088,0.0118,-15
1770661795,-9.7539,-18.8864,0.0141,-15
1770661796,-9.7408,-18.0017,0.0121,-15
1770661797,-9.7278,-19.3364,0.0195,-15
1770661797,-9.7343,-17.2923,0.0136,-15
1770661798,-9.7343,-16.6154,0.0128,-15
1770661799,-9.7278,-19.9914,0.0139,-15
1770661800,-9.7343,-19.985,0.0123,-15
1770661800,-9.7343,-18.1926,0.0128,-15
1770661801,-9.7278,-17.9393,0.013,-15
1770661802,-9.7343,-19.6145,0.0125,-15
1770661803,-9.7408,-17.1169,0.0194,-15
1770661803,-9.7539,-17.66,0.0146,-15
1770661804,-9.7278,-17.8682,0.014,-15
1770661805,-9.7539,-18.2256,0.0124,-15
1770661805,-9.7278,-18.3255,0.0114,-15
1770661806,-9.7539,-18.4305,0.0108,-15
1770661807,-9.7539,-18.3204,0.0109,-15
1770661808,-9.7539,-18.2236,0.0105,-15
1770661808,-9.5708,-17.9039,0.0333,-15
1770661809,-8.2956,-2.8082,0.0246,-15
1770661810,-9.6035,-16.3388,0.001,-15
1770661811,-9.6689,-15.0995,0.0003,-15
1770661811,-9.6427,-14.7391,0.0008,-15
1770661812,-9.6362,-15.0621,0.0004,-15
1770661813,-9.682,-15.1635,0.0005,-15
1770661814,-9.6689,-16.0501,0.0022,-15
1770661814,-9.6689,-12.2896,0.0054,-15
1770661815,-9.6101,-15.9014,0.005,-15
1770661816,-9.4989,-12.1441,0.0026,-15
1770661816,-9.597,-15.5542,0.001,-15
1770661817,-9.6558,-15.386,0.001,-15
1770661818,-9.6427,-15.0345,0.0008,-15
1770661819,-9.6231,-14.8786,0.0004,-15
1770661819,-9.6558,-14.8373,0.0002,-15
1770661820,-9.6362,-14.9281,0.0137,8
1770661821,9.7601,-1.3699,0.0128,8
1770661822,9.7928,7.9855,0.0005,8
